"Alexandra ","Post Office","110 Alexandra Road","1.29154","103.81979","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Alexandra Post Office"
"Ang Mo Kio Central","Post Office","Blk 727 Ang Mo Kio Ave 6 #01-4246","1.37271","103.845316","","830","2000","830","2000","830","2000","830","2000","830","2000","830","1500","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Ang Mo Kio Central Post Office"
"Bedok Central","Post Office","Blk 218 Bedok North St.1 #01-49","1.32747","103.93425","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Bedok Central Post Office"
"Bishan ","Post Office","51 Bishan Street 13 #01-01 Bishan Community Club","1.34926","103.85028","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1400","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""Remittance Service""]","Bishan Post Office"
"Bras Basah","Post Office","Blk 231 Bain Street#01-03 Bras Basah Complex","1.29678","103.85387","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1400","Closed","Closed","Closed","Closed","[""ICA Application"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Bras Basah Post Office"
"Bukit Batok Central","Post Office","1 Bukit Batok Central Link #05-09 West Mall","1.34991","103.74944","","930","1800","930","1800","930","2000","930","1800","930","1800","930","1600","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Bukit Batok Central Post Office"
"Bukit Merah Central","Post Office","Blk 165 Bukit Merah Central #01-3689","1.28315","103.81663","","830","1700","830","1700","830","1700","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Care for Life"",""ezyCash"",""Remittance Service""]","Bukit Merah Central Post Office"
"Bukit Panjang","Post Office","10 Choa Chu Kang Rd Track 10","1.3726","103.74325","","830","1700","830","1700","830","2000","830","1700","830","1700","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Bukit Panjang Post Office"
"Bukit Timah","Post Office","20 Toh Yi Drive #01-05 Bukit Timah Community Club","1.34047","103.77171","","930","1800","930","1800","930","1800","930","1800","930","1800","930","1400","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""Remittance Service""]","Bukit Timah Post Office"
"Change Alley","Post Office","16 Collyer Quay #02-02","1.28389","103.85251","","830","1800","830","1800","830","1800","830","1800","830","1800","830","1300","Closed","Closed","Closed","Closed","[""ICA Application"",""Collection of ICA Documents"",""POSB Withdrawal and Deposit Services"",""ezyCash"",""Remittance Service""]","Change Alley Post Office"
