"313 @ Somerset","SAM","313 Orchard Road (Lobby B @ Basement 3, under escalator)","1.30101","103.83825","","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","800","2200","",""
"888 Plaza","SAM","Blk 888 Woodlands Drive 50 [Near Foodcourt]","1.43712","103.79532","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Acacia Lodge","SAM","540 Bukit Batok Street 23 #01-49 Acacia Lodge","1.34001","103.75568","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Admiralty MRT Station ","SAM","70 Woodlands Avenue 7 [behind unit #01-02, facing food court]","1.441","103.80098","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Admiralty MRT Station-2 ","SAM","70 Woodlands Avenue 7 [behind unit #01-02, facing food court]","1.441","103.80098","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Airmail Transit Centre","SAM","21 North Perimeter Road, entrance of #01-01 [Changi Airfreight Centre Branch]","1.38261","103.9972","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Alexandra Hospital","SAM","378 Alexandra Road [main lobby building - outside Auto Lobby]","1.28684","103.80109","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Alexandra Post Office","SAM","110 Alexandra Road","1.29154","103.81979","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Alexandra Technology Park","SAM","Blk A, 438 Alexandra Road","1.27731","103.80192","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Aljunied MRT Station","SAM","81 Lorong 25 Geylang [Left passageway at Level 1]","1.31644","103.88296","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Anchor Point","SAM","370 Alexandra Road, Basement 1 [opposite Jollibean]","1.28874","103.80541","","1030","2200","1030","2200","1030","2200","1030","2200","1030","2200","1030","2200","1030","2200","1030","2200","",""
"Ang Mo Kio Avenue 10 ","SAM","Blk 532 Ang Mo Kio Avenue 10 [near 7-Eleven Store]","1.37381","103.85459","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Ang Mo Kio Central PO - 1 [Weighing Scale]","SAM","Blk 727 Ang Mo Kio Avenue 6 #01-4246","1.37271","103.846","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Ang Mo Kio Central PO - 2","SAM","Blk 727 Ang Mo Kio Avenue 6 #01-4246","1.37271","103.846","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Ang Mo Kio HDB Branch","SAM","Blk 715 Ang Mo Kio Ave 6 [Corner wall space along passageway, near phone booth]","1.37102","103.84593","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Ang Mo Kio MRT Station - 2 ","SAM","2450 Ang Mo Kio Avenue 8, [Level 1, next to POSB/ current SAM Machine]","1.36959","103.84935","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Ang Mo Kio MRT Station [Weighing Scale]","SAM","2450 Ang Mo Kio Avenue 8 [Level 1, next to POSB] Ang Mo Kio MRT Station","1.36959","103.84935","","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","630","2330","",""
"Bayshore Park [SAMplus/Posting Box/Smart Locker]","SAM","56 Bayshore Road, Dolphina Clubhouse","1.31093","103.93642","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bedok Central PO - 1 [Weighing Scale]","SAM","Blk 218 Bedok North Street 1 #01-49","1.32747","103.93425","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bedok Central PO - 2","SAM","Blk 218 Bedok North Street 1 #01-49","1.32747","103.93425","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
"Bedok HDB Branch Office ","SAM","Blk 201A Bedok North St 1 #01-563 [outside entrance]","1.32594","103.92725","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","",""
